countrycode,country,year,fdi,key
POL,Poland,1984,,POL-1984
PRT,Portugal,1984,0.785955347,PRT-1984
SVK,Slovak Republic,1984,,SVK-1984
SVN,Slovenia,1984,,SVN-1984
SWE,Sweden,1984,0.269376597,SWE-1984
TUR,Turkey,1984,0.188365012,TUR-1984
USA,United States,1984,0.612766176,USA-1984
AUS,Australia,1985,1.144669345,AUS-1985
AUT,Austria,1985,0.249479627,AUT-1985
BEL,Belgium,1985,,BEL-1985
CAN,Canada,1985,0.371933318,CAN-1985
CHE,Switzerland,1985,1.17600493,CHE-1985
CHL,Chile,1985,0.815121359,CHL-1985
CZE,Czech Republic,1985,,CZE-1985
DEU,Germany,1985,0.112564212,DEU-1985
DNK,Denmark,1985,0.17731567,DNK-1985
ESP,Spain,1985,1.091391094,ESP-1985
EST,Estonia,1985,,EST-1985
FIN,Finland,1985,0.201221715,FIN-1985
FRA,France,1985,0.469230253,FRA-1985
GBR,United Kingdom,1985,1.11928039,GBR-1985
GRC,Greece,1985,0.934738698,GRC-1985
HUN,Hungary,1985,,HUN-1985
IRL,Ireland,1985,0.768531663,IRL-1985
ISL,Iceland,1985,0.802763401,ISL-1985
ISR,Israel,1985,,ISR-1985
ITA,Italy,1985,0.23777143,ITA-1985
JPN,Japan,1985,0.045587181,JPN-1985
KOR,"Korea, Rep.",1985,0.232864055,KOR-1985
LUX,Luxembourg,1985,,LUX-1985
LVA,Latvia,1985,,LVA-1985
MEX,Mexico,1985,1.075498723,MEX-1985
NLD,Netherlands,1985,1.059521996,NLD-1985
NOR,Norway,1985,-0.651922724,NOR-1985
NZL,New Zealand,1985,5.072049813,NZL-1985
POL,Poland,1985,,POL-1985
PRT,Portugal,1985,1.010514394,PRT-1985
SVK,Slovak Republic,1985,,SVK-1985
SVN,Slovenia,1985,,SVN-1985
SWE,Sweden,1985,0.349247513,SWE-1985
TUR,Turkey,1985,0.147244852,TUR-1985
USA,United States,1985,0.46034563,USA-1985
AUS,Australia,1986,2.932234504,AUS-1986
AUT,Austria,1986,0.188356396,AUT-1986
BEL,Belgium,1986,,BEL-1986
CAN,Canada,1986,0.754694286,CAN-1986
CHE,Switzerland,1986,1.37387097,CHE-1986
CHL,Chile,1986,1.670103143,CHL-1986
CZE,Czech Republic,1986,,CZE-1986
DEU,Germany,1986,0.215031418,DEU-1986
DNK,Denmark,1986,0.185364097,DNK-1986
ESP,Spain,1986,1.376723321,ESP-1986
EST,Estonia,1986,,EST-1986
FIN,Finland,1986,0.472459048,FIN-1986
FRA,France,1986,0.422034253,FRA-1986
GBR,United Kingdom,1986,1.42482067,GBR-1986
GRC,Greece,1986,0.835408645,GRC-1986
HUN,Hungary,1986,,HUN-1986
IRL,Ireland,1986,-0.140510057,IRL-1986
ISL,Iceland,1986,0.216256463,ISL-1986
ISR,Israel,1986,,ISR-1986
ITA,Italy,1986,-0.026909251,ITA-1986
JPN,Japan,1986,0.010882149,JPN-1986
KOR,"Korea, Rep.",1986,0.397794211,KOR-1986
LUX,Luxembourg,1986,,LUX-1986
LVA,Latvia,1986,,LVA-1986
MEX,Mexico,1986,1.572917466,MEX-1986
NLD,Netherlands,1986,1.577958648,NLD-1986
NOR,Norway,1986,1.292826418,NOR-1986
NZL,New Zealand,1986,3.965777578,NZL-1986
POL,Poland,1986,,POL-1986
PRT,Portugal,1986,0.614588292,PRT-1986
SVK,Slovak Republic,1986,,SVK-1986
SVN,Slovenia,1986,,SVN-1986
SWE,Sweden,1986,0.729670168,SWE-1986
TUR,Turkey,1986,0.165064419,TUR-1986
USA,United States,1986,0.771629716,USA-1986
AUS,Australia,1987,2.784316332,AUS-1987
AUT,Austria,1987,0.329814979,AUT-1987
BEL,Belgium,1987,,BEL-1987
CAN,Canada,1987,1.881370364,CAN-1987
CHE,Switzerland,1987,1.199327369,CHE-1987
CHL,Chile,1987,4.001274713,CHL-1987
CZE,Czech Republic,1987,,CZE-1987
DEU,Germany,1987,0.163819708,DEU-1987
DNK,Denmark,1987,0.077376336,DNK-1987
